name,fhispanic,fwhite,fblack,fapi,faian,mhispanic,mwhite,mblack,mapi,maian
Renata,404,1083,196,0,0,0,0,0,0,0
Renate,14,134,0,14,0,0,0,0,0,0
Renato,0,0,0,0,0,225,257,59,306,0
Rene,1026,1062,248,306,54,2730,2827,660,815,144
Renea,0,152,101,0,0,0,0,0,0,0
Renee,1226,8405,1925,1127,258,157,1077,247,144,33
Renita,0,179,168,34,0,0,0,0,0,0
Renu,0,6,0,12,0,0,0,0,0,0
Renuka,0,17,0,31,6,0,0,0,0,0
Retha,0,62,26,0,0,0,0,0,0,0
Reuben,10,18,10,4,0,443,793,465,172,0
Reva,0,343,187,0,50,0,0,0,0,0
Rex,5,49,3,15,0,207,2060,146,637,0
Rey,105,49,0,93,0,410,191,0,363,0
Reyes,44,6,0,6,0,382,53,0,53,0
Reyna,1112,373,176,0,0,46,16,7,0,0
Reynaldo,44,13,5,29,0,1240,364,133,820,0
Reynold,0,0,0,0,0,0,122,64,56,0
Reza,0,30,0,14,0,0,289,0,141,0
Rhea,132,775,228,228,93,3,19,5,5,2
Rhett,0,132,0,0,0,0,1506,0,0,0
Rhiannon,109,818,0,0,0,0,0,0,0,0
Rhoda,109,348,164,109,0,0,0,0,0,0
Rhonda,340,3485,1025,212,226,15,151,44,9,10
Rian,0,309,78,0,0,0,362,92,0,0
Ricardo,533,211,119,138,0,9232,3646,2056,2392,0
Rich,0,0,0,0,0,0,225,0,28,0
Richard,934,5339,655,740,155,14878,85022,10425,11789,2472
Richelle,0,525,120,120,0,0,0,0,0,0
Richie,4,14,7,5,0,74,257,129,91,0
Richmond,0,0,0,0,0,0,159,56,86,0
Rick,0,0,0,0,0,527,3056,270,534,171
Rickey,6,89,36,8,0,90,1382,560,127,0
Ricki,47,264,81,47,0,21,119,36,21,0
Rickie,23,239,83,23,0,46,476,165,46,0
Ricky,113,655,188,162,29,1085,6273,1805,1548,280
Rico,8,10,8,10,0,223,261,208,261,0
Rigoberto,41,6,0,3,3,1382,220,0,90,90
Rikki,0,412,70,0,0,0,107,18,0,0
Riley,0,2796,1092,364,0,0,2308,901,300,0
Rima,0,175,0,53,0,0,0,0,0,0
Rina,184,299,49,226,0,0,0,0,0,0
Risa,37,260,0,37,0,0,0,0,0,0
Rita,1334,4165,1008,1102,105,34,105,25,28,3
Ritchie,0,0,0,0,0,34,171,48,59,0
Ritesh,0,0,0,0,0,0,30,0,63,0
Ritu,0,38,0,83,14,0,0,0,0,0
Rob,0,0,0,0,0,27,321,27,0,27
Robb,0,0,0,0,0,19,153,0,27,0
Robbie,50,520,183,35,0,91,943,333,64,0
Robbin,0,227,78,0,0,0,139,48,0,0
Robby,3,21,0,5,0,48,389,0,84,0
Robert,1439,9568,1447,946,353,24407,162262,24537,16045,5982
Roberta,436,2387,445,243,113,41,224,42,23,11
Roberto,500,200,32,140,0,7778,3103,491,2181,0
Robin,933,10291,2035,1114,398,530,5845,1156,633,226
Robyn,352,3916,595,421,0,48,539,82,58,0
Rocco,4,31,0,2,0,215,1723,0,124,0
Rochelle,270,2046,804,306,0,16,118,47,18,0
Rocio,1198,280,0,99,0,215,50,0,18,0
Rock,0,0,0,0,0,39,171,27,27,0
Rocky,39,144,18,46,0,281,1048,133,338,0
Rod,0,0,0,0,0,69,282,49,34,24
Rodd,0,0,0,0,0,0,26,0,0,0
Roderic,0,0,0,0,0,0,93,35,45,0
Roderick,11,88,59,24,9,196,1591,1063,439,160
Rodger,0,0,0,0,0,0,579,98,80,0
Rodney,66,483,160,79,25,1076,7828,2590,1273,407
Rodolfo,145,45,0,63,0,2507,778,0,1094,0
Rodrick,0,0,0,0,0,0,278,258,86,0
Rodrigo,32,12,0,12,0,2162,783,0,839,0
Rogelio,98,20,0,44,0,2139,433,0,952,0
Roger,99,601,90,96,9,1893,11501,1731,1832,180
Rohan,11,19,23,21,0,184,301,369,337,0
Rohit,0,0,0,0,0,0,142,0,335,58
Roland,15,49,19,15,0,793,2602,1000,811,0
Rolando,89,33,0,54,0,1740,643,0,1056,0
Rolf,0,0,0,0,0,0,117,13,0,13
Rolland,0,0,0,0,0,27,178,0,27,0
Rollin,0,0,0,0,0,0,154,26,36,0
Roma,0,211,55,109,0,0,41,10,21,0
Roman,180,314,40,40,20,2541,4419,558,558,279
Romeo,0,0,0,0,0,874,804,280,1400,0
Rommel,0,0,0,0,0,92,69,31,162,0
Romulo,0,0,0,0,0,73,44,0,100,0
Romy,64,198,0,136,0,18,56,0,39,0
Ron,0,0,0,0,0,230,1411,301,325,87
Rona,36,173,44,72,0,0,0,0,0,0
Ronald,227,1718,359,225,80,3798,28759,6005,3768,1343
Ronaldo,0,0,0,0,0,307,254,141,380,0
Ronda,71,686,117,0,0,0,0,0,0,0
Ronen,0,0,0,0,0,0,119,0,0,0
Roni,84,287,53,65,38,55,187,35,43,25
Ronit,0,50,0,0,0,0,107,0,0,0
Ronna,0,132,17,0,0,0,0,0,0,0
Ronnie,279,1127,470,202,43,947,3817,1593,685,146
Ronny,36,88,30,24,0,166,404,136,111,0
Rony,0,0,0,0,0,165,155,58,58,0
Roosevelt,0,23,80,0,0,0,125,432,0,0
Roque,0,0,0,0,0,156,122,0,52,0
Rory,225,1529,285,201,0,316,2145,399,282,0
Rosa,5766,3038,1422,1021,251,446,235,110,79,19
Rosalba,334,104,0,37,0,0,0,0,0,0
Rosalee,130,351,184,0,0,0,0,0,0,0
Rosalia,453,347,71,158,0,0,0,0,0,0
Rosalie,892,2522,354,541,205,0,0,0,0,0
Rosalina,397,211,0,248,0,0,0,0,0,0
Rosalind,142,605,460,153,0,0,0,0,0,0
Rosalinda,768,430,76,423,76,0,0,0,0,0
Rosalio,12,4,0,4,0,142,45,0,52,0
Rosalva,174,27,0,0,0,0,0,0,0,0
Rosalyn,214,676,511,198,0,0,0,0,0,0
Rosana,119,92,0,81,0,0,0,0,0,0
Rosann,10,52,0,14,0,0,0,0,0,0
Rosanna,235,604,130,261,65,9,23,5,10,2
Rosanne,92,426,43,31,0,0,0,0,0,0
Rosario,917,555,0,494,0,467,282,0,252,0
Rosaura,203,33,0,0,0,0,0,0,0,0
Roscoe,0,0,0,0,0,0,255,189,0,0
Rose,2569,7660,2665,1891,449,112,333,116,82,19
Roseann,47,456,66,33,0,0,0,0,0,0
Roseanna,80,216,0,0,0,0,0,0,0,0
Roseanne,85,324,46,46,0,0,0,0,0,0
Rosella,79,180,50,35,0,0,0,0,0,0
Roselyn,128,497,157,203,0,0,0,0,0,0
Rosemarie,475,1522,304,424,124,0,0,0,0,0
Rosemary,1347,4777,1053,765,246,34,121,27,19,6
Rosendo,0,0,0,0,0,394,46,0,121,0
Rosetta,83,243,236,59,42,0,0,0,0,0
Roshan,0,29,7,33,0,0,159,40,177,0
Rosie,672,758,590,350,97,0,0,0,0,0
Rosio,158,0,0,0,0,15,0,0,0,0
Rosita,155,137,37,167,37,0,0,0,0,0
Roslyn,89,556,351,109,0,0,0,0,0,0
Ross,41,337,24,53,20,570,4703,329,735,285
Rowena,70,188,70,173,28,0,0,0,0,0
Roxana,685,597,90,270,90,39,34,5,15,5
Roxane,47,173,23,41,0,0,0,0,0,0
Roxann,48,279,34,0,0,0,0,0,0,0
Roxanna,273,596,107,76,76,10,21,4,3,3
Roxanne,611,2682,723,519,173,24,107,29,21,7
Roxie,41,246,116,0,0,0,0,0,0,0
Roy,84,414,106,105,22,1454,7193,1848,1817,380
Royal,0,402,139,88,0,0,621,214,136,0
Royce,29,303,81,50,0,117,1234,330,202,0
Ruben,397,164,49,89,0,6406,2644,794,1432,0
