name,fhispanic,fwhite,fblack,fapi,faian,mhispanic,mwhite,mblack,mapi,maian
Sridhar,0,0,0,0,0,2,6,0,17,0
Srikanth,0,0,0,0,0,0,6,0,19,0
Srinivas,0,0,0,0,0,7,32,0,71,7
Sriram,0,0,0,0,0,0,54,0,129,24
Stacey,1009,7751,1448,848,300,271,2080,389,228,80
Staci,175,1560,214,214,0,7,59,8,8,0
Stacia,56,520,97,112,0,0,0,0,0,0
Stacie,287,2123,331,214,0,22,162,25,16,0
Stacy,927,8511,1337,1081,454,260,2390,376,304,128
Stan,0,0,0,0,0,34,311,59,64,24
Stanford,0,0,0,0,0,0,195,100,45,0
Stanislav,0,0,0,0,0,17,113,0,0,0
Stanislaw,0,0,0,0,0,0,138,0,0,0
Stanley,34,297,85,83,7,683,5910,1702,1654,142
Stanton,0,0,0,0,0,0,229,68,68,0
Starla,55,395,110,0,0,0,0,0,0,0
Starr,71,445,123,0,0,7,42,12,0,0
Stavros,0,0,0,0,0,0,126,0,0,0
Stefan,17,95,14,18,0,341,1875,270,362,0
Stefani,94,511,0,67,0,0,0,0,0,0
Stefania,0,177,0,0,0,0,0,0,0,0
Stefanie,359,2533,401,359,0,13,94,15,13,0
Stefano,0,0,0,0,0,0,342,50,0,0
Steffanie,49,200,49,0,0,0,0,0,0,0
Steffany,0,139,0,0,0,0,0,0,0,0
Steffen,0,0,0,0,0,0,128,0,0,0
Stella,2008,4185,1969,2120,278,44,93,44,47,6
Stepan,0,0,0,0,0,0,74,0,0,0
Stephan,14,141,22,14,8,186,1849,283,186,107
Stephane,24,147,41,24,0,22,136,38,22,0
Stephani,0,386,0,0,0,0,0,0,0,0
Stephanie,7202,45495,9884,6420,1333,437,2759,600,389,81
Stephany,152,738,215,108,108,3,15,4,2,2
Stephen,278,3124,336,419,76,4527,50942,5474,6826,1244
Stephenie,46,262,0,46,0,0,0,0,0,0
Sterling,0,512,268,131,0,0,1294,678,332,0
Stevan,0,0,0,0,0,54,275,0,0,0
Steve,118,495,80,144,26,1738,7308,1175,2124,389
Steven,553,4647,517,682,130,8979,75393,8394,11069,2108
Stevie,118,529,392,167,0,52,235,174,74,0
Stewart,12,110,17,18,0,143,1277,202,214,0
Stuart,16,276,27,41,0,212,3582,352,531,0
Su,0,40,0,140,0,0,12,0,42,0
Sue,106,1357,127,315,57,30,379,35,88,16
Sueann,0,87,0,23,0,0,0,0,0,0
Suellen,0,55,0,9,0,0,0,0,0,0
Suman,0,21,0,47,8,0,8,0,19,3
Sumit,0,0,0,0,0,0,35,0,81,0
Summer,379,3924,657,536,0,17,177,30,24,0
Sun,14,48,0,162,0,17,59,0,196,0
Sunday,0,153,117,35,0,0,34,26,8,0
Sung,5,12,0,77,0,16,38,0,240,0
Sunil,0,0,0,0,0,0,135,43,270,30
Sunita,24,73,0,127,17,0,0,0,0,0
Sunny,0,730,122,638,122,0,480,80,420,80
Sunshine,0,298,52,0,0,0,16,3,0,0
Suong,0,0,0,21,0,0,0,0,0,0
Suresh,0,0,0,0,0,0,30,5,58,7
Susan,2746,25492,1837,3555,742,173,1608,116,224,47
Susana,1482,843,182,537,0,83,47,10,30,0
Susann,0,63,20,0,0,0,0,0,0,0
Susanna,372,1093,0,421,0,0,0,0,0,0
Susannah,0,532,0,126,0,0,0,0,0,0
Susanne,83,815,37,74,0,0,0,0,0,0
Susette,0,33,0,0,0,0,0,0,0,0
Sushil,0,0,0,0,0,0,9,0,17,0
Susie,290,701,318,415,65,0,0,0,0,0
Suzan,38,350,72,61,0,0,0,0,0,0
Suzann,0,107,0,0,0,0,0,0,0,0
Suzanna,168,535,63,127,0,0,0,0,0,0
Suzanne,859,7010,492,765,0,39,317,22,35,0
Suzette,175,690,211,158,53,0,0,0,0,0
Suzie,30,136,30,86,0,0,0,0,0,0
Suzy,0,150,0,69,0,0,0,0,0,0
Sven,0,0,0,0,0,36,255,0,36,0
Svetlana,0,408,0,49,0,0,0,0,0,0
Swati,0,56,0,95,22,0,0,0,0,0
Sybil,43,323,121,43,61,0,0,0,0,0
Sydney,919,5016,1644,1233,0,119,647,212,159,0
Syed,5,28,0,49,5,103,606,0,1066,103
Sylvain,0,0,0,0,0,0,20,0,0,0
Sylvester,0,0,0,0,0,156,367,503,90,0
Sylvia,2973,4627,2111,1394,360,144,224,102,68,17
Sylvie,0,478,108,108,0,0,0,0,0,0
Sylwia,0,44,0,0,0,0,0,0,0,0
Tabatha,186,734,246,0,0,0,0,0,0,0
Tabitha,465,2433,806,329,190,18,92,31,12,7
Tad,0,0,0,0,0,0,442,0,98,0
Tadd,0,0,0,0,0,0,94,0,0,0
Tadeusz,0,0,0,0,0,0,90,0,15,0
Tae,0,15,0,86,0,0,33,0,184,0
Tai,0,136,48,349,0,0,205,73,529,0
Takashi,0,0,0,0,0,0,0,0,68,0
Tal,0,118,20,0,0,0,161,28,0,0
Talia,243,926,243,0,0,3,12,3,0,0
Talin,0,69,0,0,0,0,98,0,0,0
Tam,0,61,0,263,0,0,76,0,328,0
Tama,0,45,0,0,0,0,16,0,0,0
Tamar,84,460,157,59,0,37,203,69,26,0
Tamara,934,6866,1497,539,241,49,362,79,28,13
Tamatha,0,64,25,0,0,0,0,0,0,0
Tameka,0,100,300,0,0,0,4,13,0,0
Tamela,36,222,76,0,0,0,0,0,0,0
Tamera,0,802,182,0,0,0,0,0,0,0
Tami,134,1028,89,109,0,0,0,0,0,0
Tamie,13,75,13,0,0,0,0,0,0,0
Tamika,133,188,657,0,0,9,13,44,0,0
Tammi,39,353,62,0,0,0,0,0,0,0
Tammie,80,561,184,88,36,5,35,11,5,2
Tammy,725,5550,974,956,239,65,495,87,85,21
Tamra,51,699,102,51,0,0,0,0,0,0
Tan,0,0,0,0,0,0,53,0,223,0
Tana,70,478,85,49,0,0,0,0,0,0
Tania,973,1715,347,454,0,55,98,20,26,0
Tanisha,0,293,603,0,0,0,11,22,0,0
Tanja,25,143,44,0,0,0,0,0,0,0
Tanner,49,354,0,49,0,307,2211,0,307,0
Tanya,963,4562,1646,858,345,56,266,96,50,20
Tao,0,0,0,0,0,0,27,0,181,0
Tara,1064,10719,1982,1264,258,52,520,96,61,13
Tarek,0,0,0,0,0,0,293,42,95,0
Tari,0,81,21,0,0,0,22,6,0,0
Tariq,3,12,3,15,3,78,356,78,453,78
Tarun,0,0,0,0,0,0,64,0,145,0
Taryn,0,1543,322,322,0,0,277,58,58,0
Tasha,213,1265,706,213,0,8,45,25,8,0
Tate,36,190,0,36,36,149,789,0,149,149
Tatiana,677,1990,443,313,0,22,65,14,10,0
Tatum,0,628,0,0,0,0,390,0,0,0
Tatyana,101,1278,0,142,101,0,0,0,0,0
Taunya,0,35,0,0,0,0,0,0,0,0
Tawny,49,258,0,49,0,0,0,0,0,0
Tawnya,27,196,38,0,0,0,0,0,0,0
Taylor,1276,10066,1142,1398,0,711,5607,636,779,0
Ted,0,0,0,0,0,219,1811,250,514,120
Tedd,0,0,0,0,0,0,69,0,17,0
Teddy,72,238,58,97,0,225,739,179,303,0
Teena,0,210,26,37,0,0,0,0,0,0
Tena,30,139,30,30,0,0,0,0,0,0
Teodora,79,93,0,66,0,0,0,0,0,0
Teodoro,0,0,0,0,0,242,94,0,123,36
Teofilo,0,0,0,0,0,77,42,0,35,0
Tera,87,509,107,62,0,0,0,0,0,0
Terence,10,139,43,32,7,136,1910,583,439,96
Teresa,4487,12295,2255,2133,656,233,640,117,111,34
Terese,51,270,25,36,0,0,0,0,0,0
Teresita,203,198,46,356,33,0,0,0,0,0
Teressa,0,151,57,0,0,0,0,0,0,0
Teri,215,1572,233,206,108,11,84,12,11,6
Terra,0,790,210,86,0,0,21,5,2,0
Terrance,16,215,92,37,0,232,3170,1365,545,0
Terrell,0,138,109,0,0,0,1191,934,0,0
Terrence,19,242,80,42,10,296,3701,1222,646,148
Terri,414,3644,661,467,153,59,519,94,67,22
Terrie,47,373,81,38,0,6,46,10,5,0
Terrill,0,22,9,4,0,0,207,84,38,0
Terry,276,3137,669,379,168,1149,13079,2788,1578,700
Teryl,0,23,0,0,0,0,29,0,0,0
Tessa,217,2061,307,376,0,4,34,5,6,0
Thad,0,0,0,0,0,35,362,50,35,0
Thaddeus,2,26,7,0,2,101,1185,302,0,101
Thai,19,13,13,124,0,45,32,32,295,0
Thang,0,8,0,50,0,0,36,0,233,0
Thanh,22,48,0,414,0,28,63,0,538,0
Thao,0,71,0,284,0,0,29,0,117,0
Thea,164,941,259,201,0,0,0,0,0,0
Thelma,332,665,411,261,0,0,0,0,0,0
Theo,23,82,33,36,0,216,763,305,341,0
Theodora,107,462,138,0,0,0,0,0,0,0
Theodore,53,435,112,73,22,1580,13028,3360,2185,659
Theresa,2095,10402,2198,1641,484,114,567,120,89,26
Therese,146,1330,119,206,0,0,0,0,0,0
Theron,0,39,9,0,5,0,446,107,0,62
Thi,0,31,0,120,0,0,11,0,43,0
Thien,5,0,0,43,0,31,0,0,243,0
Thierry,0,29,8,10,0,0,130,35,43,0
Thinh,0,0,0,0,0,0,14,0,104,0
Tho,2,3,0,16,0,6,8,0,37,0
Thomas,572,5677,663,726,195,10996,109112,12751,13955,3747
Thong,0,0,0,0,0,0,0,0,120,0
Thor,0,0,0,0,0,0,345,0,53,53
Thu,0,58,0,227,0,0,5,0,21,0
Thuan,0,0,0,0,0,0,13,0,104,0
Thurman,0,0,0,0,0,0,150,90,0,30
Thuy,25,75,25,354,0,3,9,3,45,0
Tia,0,1437,726,419,0,0,59,30,17,0
Tian,0,0,11,65,0,0,0,18,106,0
Tibor,0,0,0,0,0,6,35,0,9,6
Tien,30,42,0,202,0,37,52,0,249,0
Tiffani,167,873,289,167,0,0,0,0,0,0
Tiffanie,70,448,157,121,0,0,0,0,0,0
Tiffany,2272,17323,6094,4389,1092,128,975,343,247,61
Tim,0,0,0,0,0,181,1563,173,424,52
Timmy,0,0,0,0,0,81,435,114,162,0
Timothy,320,3780,511,394,143,5455,64378,8711,6703,2440
Tin,0,0,0,0,0,0,34,0,164,0
Tina,1211,7499,1430,1955,347,67,413,79,108,19
Ting,0,15,0,63,0,0,7,0,29,0
Tinh,0,0,0,0,0,0,0,0,20,0
Tisha,64,336,143,45,0,0,0,0,0,0
Tito,0,0,0,0,0,154,84,0,145,0
Titus,0,11,7,6,0,0,635,437,357,0
Toan,0,0,0,0,0,0,24,0,130,0
Tobias,0,0,0,0,0,450,1307,212,150,0
Tobin,12,89,0,12,0,57,421,0,57,0
Toby,118,835,144,127,48,289,2044,353,312,118
Tod,0,0,0,0,0,23,292,0,23,0
Todd,50,785,77,65,23,878,13702,1345,1129,409
Tom,0,0,0,0,0,205,1922,216,835,118
Tomas,45,28,5,14,0,1855,1139,223,562,0
Tomasz,0,0,0,0,0,26,259,0,26,0
Tomeka,0,0,98,0,0,0,0,0,0,0
Tomi,33,166,0,46,33,10,52,0,14,10
Tomislav,0,0,0,0,0,0,35,0,0,0
Tommie,79,316,229,50,35,125,499,361,79,56
Tommy,80,365,126,153,36,815,3713,1283,1563,364
Tong,0,0,0,0,0,0,0,0,136,0
Toni,742,4116,1278,452,319,132,730,227,80,57
Tonia,98,485,227,44,0,0,0,0,0,0
Tonja,0,129,55,0,18,0,0,0,0,0
Tony,221,668,246,387,50,2361,7127,2629,4125,535
Tonya,317,3073,1289,224,159,12,119,50,9,6
Tori,175,1582,391,175,0,28,250,62,28,0
Torrey,29,150,87,0,0,48,252,145,0,0
Tory,0,368,87,71,50,0,458,108,88,62
Tosha,0,233,161,0,0,0,0,0,0,0
Trace,9,52,13,0,0,111,605,156,0,0
Tracee,0,145,49,25,0,0,19,6,3,0
Tracey,284,3005,920,298,0,121,1280,392,127,0
Traci,176,2282,506,305,88,16,209,46,28,8
Tracie,123,1141,313,150,0,11,107,29,14,0
Tracy,985,9490,2035,1443,377,519,4999,1072,760,198
Tram,0,26,0,103,0,0,0,0,0,0
Tran,0,0,0,122,0,0,0,0,46,0
Trang,0,57,0,268,0,0,6,0,30,0
Travis,92,1044,203,107,70,1558,17662,3435,1816,1178
Trena,20,117,46,0,20,0,0,0,0,0
Trent,0,105,13,12,0,0,3295,422,377,0
Trenton,0,76,19,12,0,0,2045,511,323,0
Tresa,0,108,26,0,0,0,0,0,0,0
Tressa,0,273,99,0,0,0,0,0,0,0
Treva,0,146,72,0,0,0,0,0,0,0
Trevor,46,470,117,46,0,903,9137,2271,903,0
Trey,0,53,10,10,0,0,1074,193,193,0
Tri,0,0,0,0,0,0,48,0,265,0
Tricia,289,1958,354,301,84,8,52,9,8,2
Trina,220,1017,464,209,66,0,0,0,0,0
Trinh,0,26,0,139,0,0,0,0,0,0
Trinidad,251,88,0,68,0,349,123,0,95,0
Trinity,0,1543,287,405,0,0,230,43,61,0
Trish,0,165,0,27,0,0,0,0,0,0
Trisha,349,2420,276,302,123,13,88,10,11,4
Trista,0,654,135,0,95,0,15,3,0,2
Tristan,75,626,151,226,0,344,2855,687,1031,0
Trong,0,0,0,0,0,0,0,0,31,0
Troy,87,904,222,97,31,1031,10768,2641,1152,364
Truc,0,14,0,74,0,0,4,0,22,0
Trudi,0,72,12,0,0,0,0,0,0,0
Trudie,0,40,0,0,0,0,0,0,0,0
Trudy,57,565,109,74,0,0,0,0,0,0
Truman,0,0,0,0,0,102,492,102,0,0
Trung,0,0,0,0,0,0,0,0,268,0
Truong,0,0,0,0,0,0,0,0,77,0
Tu,9,0,0,82,0,15,0,0,138,0
Tuan,0,0,0,0,0,31,75,0,485,0
Tucker,0,117,0,0,0,0,1337,0,0,0
Tung,0,0,0,0,0,0,17,0,113,0
Tushar,0,0,0,0,0,0,37,0,79,20
Tuyen,10,0,0,66,0,3,0,0,17,0
Tuyet,0,20,0,86,0,0,0,0,0,0
Twila,43,219,52,0,0,0,0,0,0,0
Twyla,0,221,71,0,0,0,0,0,0,0
Ty,22,310,45,126,22,193,2674,386,1092,193
Tye,0,89,0,24,0,0,323,0,86,0
Tyler,384,4126,181,384,222,2259,24262,1065,2259,1304
Tyra,0,559,389,0,0,0,27,19,0,0
Tyrone,32,93,126,33,0,470,1361,1855,493,0
Tyson,18,171,29,29,0,273,2565,431,431,0
Tzvi,0,0,0,0,0,0,232,0,0,0
Ubaldo,0,0,0,0,0,212,52,0,37,0
Uday,0,0,0,0,0,0,40,0,75,0
Ulises,23,8,0,0,0,617,209,0,0,0
Ulysses,9,8,14,9,3,236,221,383,236,83
Uma,0,117,0,274,41,0,0,0,0,0
Umesh,0,0,0,0,0,0,4,0,13,0
Uriel,118,54,17,17,17,938,433,137,137,137
Ursula,160,594,195,80,0,0,0,0,0,0
Usha,0,31,0,52,12,0,0,0,0,0
Vadim,0,0,0,0,0,23,235,0,40,0
Vahan,0,0,0,0,0,0,48,0,0,0
Vahe,0,0,0,0,0,0,93,0,0,0
Vaishali,0,32,12,65,12,0,0,0,0,0
Val,4,36,6,7,0,22,190,31,38,0
Valarie,131,596,321,0,0,0,0,0,0,0
Valentin,0,0,0,0,0,669,715,126,155,155
Valentina,912,2269,0,456,0,11,26,0,5,0
Valentine,80,156,67,74,0,99,195,84,92,0
Valeri,27,168,0,0,0,0,0,0,0,0
Valeria,1074,1621,981,0,0,43,66,40,0,0
Valerie,3032,14430,4257,2014,520,129,614,181,86,22
Valeriy,0,0,0,0,0,0,31,0,5,0
Valery,0,560,200,0,0,0,27,9,0,0
Valorie,0,288,88,0,0,0,0,0,0,0
Van,66,339,111,340,0,210,1074,353,1077,0
Vance,2,31,8,6,2,96,1228,302,234,96
Vandana,0,14,0,43,0,0,0,0,0,0
Vanessa,5335,10701,5366,2699,713,319,640,321,161,43
Varsha,0,84,30,154,0,0,0,0,0,0
Vasile,0,0,0,0,0,4,24,0,4,0
Vasiliki,0,126,0,0,0,0,0,0,0,0
Vasilios,0,0,0,0,0,30,188,0,0,0
Vasiliy,0,0,0,0,0,9,53,0,0,0
Vaughn,0,222,76,30,0,0,940,320,126,0
Veena,0,63,0,124,21,0,0,0,0,0
Velma,110,229,187,46,27,0,0,0,0,0
Venessa,122,212,141,0,0,0,0,0,0,0
Venkat,0,0,0,0,0,0,33,0,56,15
Venus,148,269,186,202,56,6,11,7,8,2
Vera,476,2307,1119,544,132,0,0,0,0,0
Vern,0,0,0,0,0,0,142,35,30,0
Verna,62,394,206,88,36,0,0,0,0,0
Verne,0,0,0,0,0,0,32,0,6,0
Vernon,12,103,46,21,0,249,2122,947,442,0
Veronica,7020,7570,3539,1854,496,443,478,223,117,31
Veronika,94,317,0,0,0,0,0,0,0,0
Veronique,28,152,68,0,0,0,0,0,0,0
Vicente,0,0,0,0,0,1543,403,0,581,0
Vickey,0,57,16,0,0,0,0,0,0,0
Vicki,199,2122,310,263,99,0,0,0,0,0
Vickie,144,1159,278,106,40,0,0,0,0,0
Vicky,321,1443,198,480,70,31,138,19,46,7
Victor,808,873,279,330,33,12649,13660,4374,5157,521
Victoria,8750,27549,5830,5802,1723,392,1233,261,260,77
Vida,59,342,176,101,59,0,0,0,0,0
Vidal,11,5,4,3,0,232,106,82,67,0
Vidya,0,63,0,99,0,0,0,0,0,0
Vien,0,0,0,0,0,0,0,0,17,0
Viet,0,0,0,0,0,0,0,0,220,0
Vijay,0,0,0,0,0,0,194,0,403,73
Vijaya,2,8,0,16,0,0,0,0,0,0
Vikas,0,0,0,0,0,0,79,0,127,0
Viki,0,64,0,10,0,0,0,0,0,0
Vikki,18,154,36,31,0,0,0,0,0,0
Vikram,0,0,0,0,0,42,161,0,292,0
Viktor,0,0,0,0,0,56,538,0,56,0
Vilma,290,197,98,154,0,0,0,0,0,0
Vinay,0,0,0,0,0,0,60,0,234,30
Vince,7,27,5,11,2,221,834,171,357,70
Vincent,202,897,232,281,26,4056,18025,4673,5649,533
Vincenza,23,132,0,0,0,0,0,0,0,0
Vincenzo,0,0,0,0,0,124,880,0,0,0
Vinh,0,4,0,27,0,0,71,0,436,0
Vinod,0,0,0,0,0,0,36,8,64,11
Viola,339,519,393,148,115,0,0,0,0,0
Violet,879,2995,1573,963,0,20,70,37,22,0
Violeta,507,393,0,376,0,14,11,0,10,0
Violetta,0,185,0,0,0,0,0,0,0,0
Vipul,0,0,0,0,0,3,8,0,14,3
Virgil,3,33,11,4,0,88,915,310,107,0
Virgilio,0,0,0,0,0,127,94,0,168,0
Virgina,15,81,0,15,0,0,0,0,0,0
Virginia,3076,9095,1902,1617,359,135,398,83,71,16
Vishal,0,0,0,0,0,0,127,0,253,0
Vita,0,157,29,41,0,0,0,0,0,0
Vitaliy,0,0,0,0,0,0,144,0,20,0
Vitaly,0,0,0,0,0,0,76,0,0,0
Vito,0,0,0,0,0,98,722,0,57,0
Vivek,0,0,0,0,0,0,183,38,359,0
Vivian,2224,5779,2741,2694,358,112,290,138,135,18
Viviana,941,529,153,153,0,24,13,4,4,0
Vivien,0,310,63,168,0,0,0,0,0,0
Vladimir,0,0,0,0,0,309,1285,183,138,0
Vladislav,0,0,0,0,0,0,147,0,0,0
Volodymyr,0,0,0,0,0,2,12,0,0,0
Von,6,38,16,14,0,40,235,99,90,0
Vonda,0,118,28,0,0,0,0,0,0,0
Vu,0,0,0,0,0,0,46,23,223,0
Vyacheslav,0,0,0,0,0,0,24,0,0,0
Wade,7,113,20,15,5,224,3675,635,502,159
Wai,0,9,0,76,0,0,12,0,107,0
Waldemar,0,0,0,0,0,24,96,0,0,0
Walid,0,0,0,0,0,0,176,0,51,0
Walker,0,164,0,28,0,0,1071,0,184,0
Wallace,16,142,43,38,8,148,1291,392,348,74
Wally,0,0,0,0,0,23,136,40,56,0
Walt,0,0,0,0,0,0,165,26,0,0
Walter,134,583,175,86,11,2548,11110,3326,1642,214
Wan,0,4,0,16,0,0,0,0,0,0
Wanda,423,1816,838,219,113,29,124,57,15,8
Wang,0,0,0,0,0,0,0,0,39,0
Ward,0,86,0,8,0,0,358,0,33,0
Warner,7,31,10,9,0,65,279,92,79,0
Warren,29,350,103,87,19,433,5290,1560,1318,283
Wayne,46,527,120,109,16,751,8569,1957,1767,265
Wei,12,15,0,171,0,22,27,0,308,0
Weldon,0,0,0,0,0,0,275,89,0,0
Wen,0,12,0,101,0,0,13,0,109,0
Wende,0,18,0,0,0,0,0,0,0,0
Wendee,0,22,0,0,0,0,0,0,0,0
Wendell,3,31,19,8,0,100,963,606,244,0
Wendi,74,657,43,86,0,0,0,0,0,0
Wendie,0,71,0,13,0,0,0,0,0,0
Wendy,1945,11128,1477,2254,413,156,894,119,181,33
Werner,0,0,0,0,0,38,148,19,19,0
Wes,0,0,0,0,0,0,375,0,83,0
Wesley,98,1407,289,283,76,764,11020,2266,2214,592
Weston,10,84,0,0,0,247,2094,0,0,0
Whitney,502,6188,1005,711,290,70,863,140,99,40
Wilbert,0,0,0,0,0,159,321,344,112,50
Wilbur,0,0,0,0,0,94,396,162,94,0
Wilburn,0,0,0,0,0,0,69,23,0,0
Wilda,28,51,18,0,0,0,0,0,0,0
Wiley,0,110,47,0,0,0,396,169,0,0
Wilford,0,0,0,0,0,0,106,42,42,21
Wilfred,0,0,0,0,0,117,379,234,194,0
Wilfredo,0,0,0,0,0,709,256,0,414,0
Wilhelmina,0,198,122,130,0,0,0,0,0,0
Will,0,0,0,0,0,296,1084,336,274,0
Willa,104,659,442,104,0,0,0,0,0,0
Willard,0,0,0,0,0,101,765,196,88,0
William,934,7686,1264,901,254,18480,152029,25011,17826,5027
Willie,92,269,540,99,21,745,2171,4355,799,167
Willis,0,26,10,6,0,0,729,281,177,0
Willy,0,0,0,0,0,110,162,59,139,0
Wilma,142,590,246,174,38,0,0,0,0,0
Wilmer,0,0,0,0,0,316,321,119,60,0
Wilson,94,126,59,99,0,1109,1482,694,1168,0
Windy,0,142,48,62,0,0,0,0,0,0
Wing,0,0,0,39,0,0,0,0,60,0
Winifred,0,513,250,153,51,0,25,12,7,2
Winnie,125,331,191,645,0,0,0,0,0,0
Winona,46,239,65,103,0,0,0,0,0,0
Winston,30,84,71,51,0,420,1169,992,717,0
Wojciech,0,0,0,0,0,0,65,0,0,0
Wolfgang,0,0,0,0,0,51,436,0,0,0
Won,0,0,0,0,0,0,11,0,69,0
Woodrow,0,0,0,0,0,0,397,192,46,0
Wyatt,32,305,64,32,0,434,4143,869,434,0
Wynne,0,130,0,0,0,0,16,0,0,0
Xavier,192,149,110,44,0,2906,2257,1663,661,0
Xi,0,6,0,36,0,0,6,0,38,0
Xia,0,0,0,135,0,0,0,0,0,0
Xian,0,0,0,46,0,0,0,0,90,0
Xiang,0,0,0,0,0,0,0,0,41,0
Xiao,0,14,0,99,0,0,4,0,30,0
Xin,20,14,0,166,0,8,6,0,64,0
Xing,0,3,0,17,0,0,2,0,14,0
Xiomara,538,200,173,0,0,0,0,0,0,0
Xiong,0,0,0,0,0,0,0,0,51,0
Xochitl,347,208,0,98,0,0,0,0,0,0
Xu,0,0,0,0,0,0,0,0,15,0
Xuan,0,14,14,104,0,0,5,5,38,0
Xue,0,0,0,33,0,0,0,0,73,0
Yadira,788,290,103,0,0,37,14,5,0,0
Yakov,0,0,0,0,0,0,314,0,0,0
Yan,10,42,10,150,0,29,125,29,443,0
Yana,0,293,0,0,0,0,0,0,0,0
Yanet,213,0,0,0,0,0,0,0,0,0
Yang,6,0,0,72,0,16,0,0,176,0
Yao,0,0,0,0,0,0,10,15,80,0
Yaron,0,0,0,0,0,0,61,0,0,0
Yasmin,648,633,309,618,0,42,41,20,40,0
Ye,4,4,0,22,0,5,5,0,28,0
Yee,0,17,0,76,0,0,19,0,86,0
Yefim,0,0,0,0,0,0,15,0,0,0
Yelena,37,452,0,0,0,0,0,0,0,0
Yen,21,29,0,198,0,7,10,0,65,0
Yesenia,1900,546,182,0,0,168,48,16,0,0
Yevgeniy,0,0,0,0,0,0,19,0,0,0
Yi,12,25,0,175,0,16,33,0,233,0
Yin,0,4,0,16,0,0,0,0,0,0
Ying,0,36,0,199,0,0,26,0,143,0
Yogesh,0,0,0,0,0,0,12,0,39,0
Yoko,0,31,0,80,0,0,0,0,0,0
Yolanda,2783,1609,1622,764,165,196,113,114,54,12
Yong,0,0,0,0,0,18,57,0,243,0
Yoon,0,6,0,27,0,0,13,0,58,0
Yoshiko,0,0,0,37,0,0,0,0,0,0
Young,0,44,13,262,0,0,90,26,537,0
Youssef,0,0,0,0,0,59,376,83,117,0
Yu,18,41,0,272,0,20,45,0,298,0
Yuan,0,6,0,50,0,0,12,0,106,0
Yue,0,15,0,101,0,0,13,0,83,0
Yulia,0,108,0,0,0,0,0,0,0,0
Yuliya,0,56,0,0,0,0,0,0,0,0
Yun,8,11,0,86,8,5,6,0,52,5
Yung,0,0,0,0,0,2,0,0,16,0
Yuri,168,440,0,177,0,126,331,0,133,0
Yuriy,0,0,0,0,0,0,140,0,0,0
Yves,0,29,20,8,0,0,126,85,36,0
Yvette,1223,1882,1185,323,122,65,100,63,17,6
Yvonne,1307,3309,1755,938,301,69,175,93,49,16
Zach,0,0,0,0,0,47,329,0,0,0
Zachariah,5,39,8,0,5,162,1159,229,0,162
Zachary,107,1169,152,119,62,2122,23144,3000,2346,1225
Zachery,0,32,6,0,0,0,932,165,0,0
Zack,0,0,0,0,0,74,398,105,74,0
Zahra,0,483,90,238,0,0,0,0,0,0
Zane,19,185,19,27,0,218,2095,218,309,0
Zenaida,220,125,0,304,0,0,0,0,0,0
Zenon,0,0,0,0,0,64,124,0,0,0
Zhanna,11,62,0,0,0,0,0,0,0,0
Zhen,0,0,0,31,0,0,0,0,74,0
Zheng,0,0,0,0,0,3,0,0,22,0
Zhi,0,7,0,37,0,0,23,0,117,0
Zi,0,0,0,31,0,0,0,0,32,0
Zina,33,153,87,33,0,0,0,0,0,0
Zoe,761,3590,851,761,0,46,216,51,46,0
Zofia,0,313,0,0,0,0,0,0,0,0
Zoila,229,86,30,0,0,0,0,0,0,0
Zoltan,0,0,0,0,0,35,129,28,20,0
Zoran,0,0,0,0,0,0,116,0,0,0
